Dates,Mean
2020-10-21,116.9594118
2020-10-22,166.942
2020-10-23,215.8052941
2020-10-24,192.6729412
2020-10-25,198.2335294
2020-10-26,186.6847059
2020-10-27,162.7811765
2020-10-28,185.5838235
2020-10-29,240.3664706
2020-10-30,214.0788235
2020-10-31,249.7117143
2020-11-01,241.2277143
2020-11-02,163.8279412
2020-11-03,142.2785714
2020-11-04,312.6258824
2020-11-05,276.1308824
2020-11-06,260.1523529
2020-11-07,320.8214706
2020-11-08,340.1288571
2020-11-09,521.7629412
2020-11-10,448.5811429
2020-11-11,185.2408824
2020-11-12,181.0648571
2020-11-13,211.3154286
2020-11-14,404.342
2020-11-15,289.1842857
2020-11-16,85.404
2020-11-17,79.49542857
2020-11-18,114.25
2020-11-19,143.3825714
2020-11-20,152.8308571
2020-11-21,121.7911429
2020-11-22,142.6235294
2020-11-23,185.8168571
2020-11-24,251.9088571
2020-11-25,280.2334286
2020-11-26,106.928
2020-11-27,76.88228571
2020-11-28,115.0711429
2020-11-29,133.9974286
2020-11-30,180.6965714
2020-12-01,233.8702857
2020-12-02,203.8374286
2020-12-03,190.5265714
2020-12-04,262.7945714
2020-12-05,253.9668571
2020-12-06,245.1785714
2020-12-07,265.6948571
2020-12-08,219.4442857
2020-12-09,202.0045714
2020-12-10,132.3805714
2020-12-11,161.38
2020-12-12,235.046
2020-12-13,107.1154286
2020-12-14,85.73114286
2020-12-15,120.2825714
2020-12-16,117.6148571
2020-12-17,135.2131429
2020-12-18,134.9034286
2020-12-19,157.7757143
2020-12-20,178.0105714
2020-12-21,196.6522857
2020-12-22,324.0868571
2020-12-23,340.5171429
2020-12-24,302.7661765
2020-12-25,199.6225714
2020-12-26,221.4177143
2020-12-27,248.4102857
2020-12-28,97.23857143
2020-12-29,128.6157143
2020-12-30,157.0662857
2020-12-31,232.2037143
2021-01-01,396.0825714
2021-01-02,316.924
2021-01-03,157.3554286
2021-01-04,87.41542857
2021-01-05,69.05142857
2021-01-06,128.0320588
2021-01-07,109.5
2021-01-08,141.0544118
2021-01-09,137.6785294
2021-01-10,117.6614706
2021-01-11,120.4885714
2021-01-12,171.822
2021-01-13,231.12
2021-01-14,377.2634286
2021-01-15,419.8837143
2021-01-16,234.728
2021-01-17,215.082
2021-01-18,227.9054286
2021-01-19,245.948
2021-01-20,134.2331429
2021-01-21,153.8928571
2021-01-22,249.8694286
2021-01-23,166.4562857
2021-01-24,221.6876471
2021-01-25,167.2648571
2021-01-26,176.1131429
2021-01-27,173.0926471
2021-01-28,260.1425714
2021-01-29,210.8305714
2021-01-30,156.49
2021-01-31,182.11
2021-02-01,232.3171429
2021-02-02,227.694
2021-02-03,168.8991429
2021-02-04,135.7771429
2021-02-05,71.24114286
2021-02-06,99.15457143
2021-02-07,137.81
2021-02-08,179.0897143
2021-02-09,186.4077143
2021-02-10,177.2588571
2021-02-11,180.18
2021-02-12,221.6374286
2021-02-13,181.0654286
2021-02-14,186.9655882
2021-02-15,163.2037143
2021-02-16,171.7351429
2021-02-17,166.0985714
2021-02-18,157.0122857
2021-02-19,164.1051429
2021-02-20,116.2454286
2021-02-21,166.3637143
2021-02-22,138.6402857
2021-02-23,124.0985294
2021-02-24,149.8988235
2021-02-25,140.9835294
2021-02-26,106.9091429
2021-02-27,70.34428571
2021-02-28,76.77485714
2021-03-01,72.70942857
2021-03-02,67.58771429
2021-03-03,100.2944118
2021-03-04,136.0958824
2021-03-05,108.0474286
2021-03-06,101.6326471
2021-03-07,118.1511429
2021-03-08,101.8025714
2021-03-09,123.9757143
2021-03-10,70.58571429
2021-03-11,114.8130303
2021-03-12,74.12060606
2021-03-13,107.9802941
2021-03-14,95.58764706
2021-03-15,100.3814706
2021-03-16,117.9632353
2021-03-17,117.055
2021-03-18,125.4339394
2021-03-19,101.5705882
2021-03-20,112.4338235
2021-03-21,111.8512121
2021-03-22,73.42941176
2021-03-23,69.57735294
2021-03-24,68.82151515
2021-03-25,54.49
2021-03-26,74.18088235
2021-03-27,100.5027273
2021-03-28,108.7054545
2021-03-29,79.31857143
2021-03-30,97.16939394
2021-03-31,53.80606061
2021-04-01,48.82058824
2021-04-02,65.71705882
2021-04-03,64.23058824
2021-04-04,77.36764706
2021-04-05,89.60588235
2021-04-06,123.1373529
2021-04-07,72.54735294
2021-04-08,56.01294118
2021-04-09,62.24676471
2021-04-10,66.84441176
2021-04-11,77.36176471
2021-04-12,105.3694118
2021-04-13,95.57617647
2021-04-14,67.04441176
2021-04-15,81.61941176
2021-04-16,90.07058824
2021-04-17,45.53774194
2021-04-18,69.5069697
2021-04-19,80.38823529
2021-04-20,68.64176471
2021-04-21,51.39323529
2021-04-22,48.23088235
